id	pop	urban	black	white	asian	native	highschool	college	income	age
4027	203292	89.57	2.08	72.79	1.29	1.13	71.6	13.3	25846	34
5001	18569	65.29	26.34	72.61	0.01	0.06	79.4	14.3	27079	41.2
5003	20989	48.32	25.92	71.70	0.00	0.20	81.1	13.7	28021	41.5
5005	40992	34.16	0.25	96.77	0.55	0.53	83.7	14.5	22707	51.8
5007	245231	74.84	1.48	88.28	3.55	1.38	84.2	25.9	32241	35.1
5009	37301	37.8	0.35	96.52	0.51	0.76	83.8	14.5	26036	42.4
5011	11096	50.41	29.19	61.58	0.00	1.41	69.4	12.7	24219	40.9
5013	5210	0	21.88	76.62	0.21	0.12	77.8	6.6	24933	44.9
5015	27690	27.17	1.15	93.38	0.88	0.62	79	17.4	22952	44.4
5017	11189	45.72	54.25	42.70	0.41	0.42	69.3	12.6	20426	43.7
5019	22684	45.62	23.58	72.24	0.77	0.17	83.1	21.7	23020	33.6
5021	15202	41.14	0.50	96.25	0.17	0.41	73.1	8.8	23844	44
5023	25587	24.48	0.56	97.12	0.57	0.40	79.1	13.8	22277	47.9
5025	8421	0	10.51	86.68	0.11	0.23	85.9	14	27206	42.5
5027	24168	42.51	34.84	60.02	1.06	0.31	83.7	20.8	26920	36
5029	21060	29.48	11.82	85.28	0.08	0.53	82.7	13.8	27005	41
5031	102884	67.83	13.83	80.76	1.19	0.64	83.3	23.1	28592	33.9
5033	61927	48.04	1.33	90.23	1.75	2.02	77.4	13	26670	38.8
5035	49511	79.11	50.72	45.12	0.65	0.18	76.3	14.2	29554	34.7
5037	17329	43.21	23.27	74.67	0.30	0.16	76.1	12.6	26327	40.3
5039	7738	47.36	41.08	55.00	1.78	0.05	80.3	12.4	23186	43.4
5041	12234	68.58	47.71	48.99	0.11	0.20	72.5	13.6	25389	39.3
5043	18688	51.39	28.73	68.11	0.12	0.09	80.6	19.4	27730	36.8
5045	120417	61.24	11.18	83.59	1.24	0.40	87.4	26.4	34164	31.9
5047	17799	17.4	0.92	94.33	0.36	2.38	82.6	11.6	24585	41
5049	12186	7.08	0.07	96.50	0.15	0.75	79.4	9.7	20939	48.2
5051	97119	63.1	8.20	85.52	0.71	0.73	85	20.2	25048	44.1
5053	18046	24.97	4.37	93.84	0.18	0.31	84.8	14.7	31700	39.3
5055	43745	58.49	0.94	95.94	0.13	0.37	80.9	12	27782	38.2
5057	22208	44.23	30.34	62.98	0.00	0.18	80.7	14.7	24836	38.5
5059	33440	34.03	11.27	85.76	0.25	0.35	81.3	12.5	25945	40.9
5061	13487	32.48	21.05	67.43	0.16	0.50	78.1	12.4	22057	38.6
5063	37030	31.42	1.95	92.54	0.86	0.39	82.4	14.7	25506	39.2
5065	13461	0	1.23	96.90	0.16	0.24	81.6	12.3	22574	48.1
5067	17495	34.94	17.13	79.30	0.14	0.35	72.3	7	21386	40.8
5069	72385	69.08	56.11	40.91	0.80	0.15	81.6	16.5	28597	38.7
5071	26025	28.63	1.77	92.23	1.39	0.35	76.4	14.8	22877	38
5073	7127	0	38.77	60.21	0.43	0.00	77.9	13.3	23386	45.3
5075	16915	36.44	0.72	97.17	0.08	0.70	74.8	9.2	23330	41.8
5077	9781	36.49	57.41	41.82	0.06	0.21	69.3	8.5	22538	40.9
5079	13935	0	31.12	66.56	0.00	0.47	73.2	8.6	23937	37.6
5081	12616	31.48	20.96	73.60	0.00	1.19	81.2	11.9	27227	41.6
5083	21935	28.98	1.74	93.10	2.18	0.83	76.7	11.7	28208	42.8
5085	71279	55.19	5.89	89.24	0.75	0.46	85.8	16.6	32342	35.8
5087	15761	0	0.70	94.86	0.42	0.82	75.8	13.4	26116	42.3
5089	16404	0	0.36	96.61	0.33	0.77	85.1	14.8	22726	51.5
5091	43666	59.99	25.17	71.18	0.13	0.65	83	12.7	27944	37.6
5093	44199	63.73	34.85	61.12	0.21	0.07	75.6	11	25778	35.9
5095	7542	31.02	40.85	56.03	0.41	0.09	68.6	12.3	23792	45.5
5097	9100	0	0.58	92.68	0.90	2.25	82.2	10.1	22563	49.2
5099	8668	30.82	33.98	63.99	1.32	0.22	78.3	10.7	25120	44
5101	7988	0	0.00	95.53	0.49	1.13	78	12.2	19992	47.9
5103	24728	43.65	40.73	57.30	0.06	0.19	81.8	13.2	25493	42.8
5105	10246	0	2.68	93.18	0.11	0.29	81.6	10.5	27483	43.7
5107	19929	52.03	62.27	36.35	0.12	0.01	70.9	12.1	23614	37.3
5109	11017	0	3.03	89.10	0.70	0.31	77.2	12.4	25079	41.4
5111	24131	28.86	6.00	89.34	0.12	0.35	72.8	8.8	23985	39.9
5113	20290	26.61	0.38	92.60	0.38	1.19	80.4	10	22255	44.1
5115	63107	45.51	2.99	91.16	1.01	0.44	81.9	20.1	26598	34.9
5117	8334	0	13.37	85.23	0.02	0.36	78	11.5	27661	45.4
5119	391806	87.72	35.90	57.86	2.15	0.27	88.2	30.7	32925	36.5
5121	17584	32.58	1.05	96.57	0.05	0.72	77.8	11.1	25402	42.9
5123	27023	48.45	53.05	42.55	0.31	0.34	73.3	10.5	24512	38
5125	115577	63.84	6.05	90.12	1.02	0.34	87.6	22.6	32610	39.2
5127	10661	29.64	0.13	89.95	3.08	1.55	73.7	9	24854	42
5129	7938	0	0.43	94.34	1.18	1.23	72.7	9.2	21840	47.5
5131	127351	79.19	6.59	79.62	4.36	1.40	81	17.9	28691	37.1
5133	17193	36.4	4.99	65.36	0.48	2.12	68.8	9.3	22313	35.2
5135	17027	19.94	0.32	95.70	0.57	0.56	80.4	12.5	21684	47.9
5137	12503	0	0.08	96.62	0.21	0.35	75.8	10.4	20444	49.1
5139	40334	45.5	32.97	64.62	0.50	0.79	81.3	16.1	29390	39.5
5141	16892	0	0.54	95.61	0.24	0.38	81	13.2	20514	47.2
5143	219930	74.51	3.45	78.30	2.40	0.87	81.7	27.4	29173	31.4
5145	78823	45.68	4.26	91.52	0.73	0.20	81.8	17.3	27974	36.1
5147	6873	0	26.64	69.85	1.47	0.07	73.1	9	22930	43.8
5149	21716	20.87	2.72	81.54	1.42	0.75	70.2	10.3	23186	39.3
6001	1605217	99.61	11.34	43.86	28.19	0.63	85.9	40.3	44267	37.2
6003	1184	0	0.84	72.38	0.76	18.92	92.1	29.7	33996	42.8
6005	36963	39.58	2.43	86.68	1.48	1.36	87.4	19	34783	50.3
6007	223877	81.1	1.50	83.13	4.31	1.09	85.7	24.1	30628	36.9
6009	44787	24.59	0.58	92.22	1.00	1.01	90.7	19.6	37632	51.2
6011	21361	68.28	1.04	87.64	1.62	0.99	70.5	11.7	25574	34.7
6013	1107925	99.21	8.76	59.74	15.51	0.49	88.4	38.2	47321	39.1
6015	27628	66.33	2.32	77.77	2.43	6.64	81.3	14.3	28444	38.1
6017	183000	65.3	0.97	86.98	4.15	0.82	92.7	31.1	41494	45.2
6019	963160	89.19	5.03	61.58	9.92	1.04	73.1	19.7	29030	31.6
6021	27976	59.13	0.70	83.98	2.45	1.84	73.9	16.2	26394	36.9
6023	135182	70.24	1.19	81.21	2.77	5.06	90.4	26.3	27819	37.6
6025	178807	82.58	2.72	69.54	1.43	1.07	62.3	12.2	26470	32.2
6027	18326	53.57	0.98	81.87	1.22	11.42	88.6	20.9	32492	45.4
6029	871337	89.79	5.54	74.35	4.60	1.15	71.1	14.7	29722	31.2
6031	150261	89.15	6.39	67.04	3.79	1.37	69.9	11.8	27813	31.4
6033	64076	66.89	2.18	78.80	1.36	3.51	86.3	16.4	26650	45.8
6035	31945	29.47	8.91	79.70	1.67	2.83	79.8	12.4	32942	36.4
6037	10057155	99.39	8.27	52.53	14.23	0.62	75.9	29	33431	35.8
6039	153366	67.08	3.33	78.99	1.99	1.57	67.9	13.5	26109	33.5
6041	259358	93.48	2.34	79.01	5.67	0.31	91.8	54.1	50796	45.7
